subject,roi,eccentricity_range,eccentricity_mean,frequency_class,psf,side
0,2,"(17.5, 18.5)",18.0,2,3.5355339059327378,0
0,2,"(17.5, 18.5)",18.0,3,3.5355339059327378,0
0,2,"(18.5, 19.5)",19.0,0,0.5789473684210527,0
0,2,"(18.5, 19.5)",19.0,1,1.2105263157894737,0
0,2,"(18.5, 19.5)",19.0,2,3.349453174041541,0
0,2,"(18.5, 19.5)",19.0,3,1.7119427333990098,0
0,2,"(19.5, 20.5)",20.0,0,0.55,0
0,2,"(19.5, 20.5)",20.0,1,1.15,0
0,2,"(19.5, 20.5)",20.0,2,3.181980515339464,0
0,2,"(19.5, 20.5)",20.0,3,3.181980515339464,0
0,2,"(20.5, 21.5)",21.0,0,0.5238095238095238,0
0,2,"(20.5, 21.5)",21.0,1,1.0952380952380953,0
0,2,"(20.5, 21.5)",21.0,2,3.0304576336566322,0
0,2,"(20.5, 21.5)",21.0,3,3.0304576336566322,0
0,2,"(21.5, 22.5)",22.0,0,0.7272727272727273,0
0,2,"(21.5, 22.5)",22.0,1,1.0454545454545454,0
0,2,"(21.5, 22.5)",22.0,2,2.892709559399513,0
0,2,"(21.5, 22.5)",22.0,3,2.892709559399513,0
0,2,"(22.5, 23.5)",23.0,0,0.6956521739130435,0
0,2,"(22.5, 23.5)",23.0,1,1.0,0
0,2,"(22.5, 23.5)",23.0,2,2.7669395785560558,0
0,2,"(22.5, 23.5)",23.0,3,2.7669395785560558,0
0,2,"(23.5, 24.5)",24.0,0,0.9583333333333334,0
0,2,"(23.5, 24.5)",24.0,1,0.9583333333333334,0
0,2,"(23.5, 24.5)",24.0,2,0.9428090415820635,0
0,2,"(23.5, 24.5)",24.0,3,1.355287997274216,0
0,2,"(24.5, 25.5)",25.0,0,0.64,0
0,2,"(24.5, 25.5)",25.0,1,0.92,0
0,2,"(24.5, 25.5)",25.0,2,0.9050966799187808,0
0,2,"(24.5, 25.5)",25.0,3,5.147737367038065,0
0,3,"(1.5, 2.5)",2.0,0,8.0,0
0,3,"(1.5, 2.5)",2.0,1,5.5,0
0,3,"(1.5, 2.5)",2.0,2,4.242640687119285,0
0,3,"(1.5, 2.5)",2.0,3,31.81980515339464,0
0,3,"(2.5, 3.5)",3.0,0,15.0,0
0,3,"(2.5, 3.5)",3.0,1,7.666666666666667,0
0,3,"(2.5, 3.5)",3.0,2,7.542472332656508,0
0,3,"(2.5, 3.5)",3.0,3,21.213203435596427,0
0,3,"(3.5, 4.5)",4.0,0,32.0,0
0,3,"(3.5, 4.5)",4.0,1,5.75,0
0,3,"(3.5, 4.5)",4.0,2,5.656854249492381,0
0,3,"(3.5, 4.5)",4.0,3,32.17335854398791,0
0,3,"(4.5, 5.5)",5.0,0,25.6,0
0,3,"(4.5, 5.5)",5.0,1,4.6,0
0,3,"(4.5, 5.5)",5.0,2,4.525483399593904,0
0,3,"(4.5, 5.5)",5.0,3,6.505382386916237,0
0,3,"(5.5, 6.5)",6.0,0,10.666666666666666,0
0,3,"(5.5, 6.5)",6.0,1,3.8333333333333335,0
0,3,"(5.5, 6.5)",6.0,2,3.771236166328254,0
0,3,"(5.5, 6.5)",6.0,3,5.421151989096864,0
0,3,"(6.5, 7.5)",7.0,0,9.142857142857142,0
0,3,"(6.5, 7.5)",7.0,1,4.571428571428571,0
0,3,"(6.5, 7.5)",7.0,2,3.2324881425670746,0
0,3,"(6.5, 7.5)",7.0,3,4.6467017049401695,0
0,3,"(7.5, 8.5)",8.0,0,8.0,0
0,3,"(7.5, 8.5)",8.0,1,4.0,0
0,3,"(7.5, 8.5)",8.0,2,1.9445436482630056,0
0,3,"(7.5, 8.5)",8.0,3,7.95495128834866,0
0,3,"(8.5, 9.5)",9.0,0,14.222222222222221,0
0,3,"(8.5, 9.5)",9.0,1,0.6666666666666666,0
0,3,"(8.5, 9.5)",9.0,2,3.614101326064576,0
0,3,"(8.5, 9.5)",9.0,3,0.9428090415820632,0
0,3,"(9.5, 10.5)",10.0,0,12.8,0
0,3,"(9.5, 10.5)",10.0,1,0.6,0
0,3,"(9.5, 10.5)",10.0,2,3.2526911934581184,0
0,3,"(9.5, 10.5)",10.0,3,6.363961030678928,0
0,3,"(10.5, 11.5)",11.0,0,5.818181818181818,0
0,3,"(10.5, 11.5)",11.0,1,0.5454545454545454,0
0,3,"(10.5, 11.5)",11.0,2,11.699403106904695,0
0,3,"(10.5, 11.5)",11.0,3,4.11407581781264,0
0,3,"(11.5, 12.5)",12.0,0,5.333333333333333,0
0,3,"(11.5, 12.5)",12.0,1,3.75,0
0,3,"(11.5, 12.5)",12.0,2,7.542472332656508,0
0,3,"(11.5, 12.5)",12.0,3,7.542472332656508,0
0,3,"(12.5, 13.5)",13.0,0,9.846153846153847,0
0,3,"(12.5, 13.5)",13.0,1,0.46153846153846156,0
0,3,"(12.5, 13.5)",13.0,2,6.962282153221391,0
0,3,"(12.5, 13.5)",13.0,3,0.6527139518645053,0
0,3,"(13.5, 14.5)",14.0,0,9.142857142857142,0
0,3,"(13.5, 14.5)",14.0,1,1.6428571428571428,0
0,3,"(13.5, 14.5)",14.0,2,9.192388155425117,0
0,3,"(13.5, 14.5)",14.0,3,9.192388155425117,0
0,3,"(14.5, 15.5)",15.0,0,8.533333333333333,0
0,3,"(14.5, 15.5)",15.0,1,1.5333333333333334,0
0,3,"(14.5, 15.5)",15.0,2,8.579562278396775,0
0,3,"(14.5, 15.5)",15.0,3,4.242640687119286,0
0,3,"(15.5, 16.5)",16.0,0,8.0,0
0,3,"(15.5, 16.5)",16.0,1,1.4375,0
0,3,"(15.5, 16.5)",16.0,2,8.043339635996977,0
0,3,"(15.5, 16.5)",16.0,3,8.043339635996977,0
0,3,"(16.5, 17.5)",17.0,0,7.529411764705882,0
0,3,"(16.5, 17.5)",17.0,1,2.6470588235294117,0
0,3,"(16.5, 17.5)",17.0,2,7.570202010350096,0
0,3,"(16.5, 17.5)",17.0,3,3.7435064886346634,0
0,3,"(17.5, 18.5)",18.0,0,7.111111111111111,0
0,3,"(17.5, 18.5)",18.0,1,2.5,0
0,3,"(17.5, 18.5)",18.0,2,7.149635231997313,0
0,3,"(17.5, 18.5)",18.0,3,3.5355339059327378,0
0,3,"(18.5, 19.5)",19.0,0,6.7368421052631575,0
0,3,"(18.5, 19.5)",19.0,1,2.3684210526315788,0
0,3,"(18.5, 19.5)",19.0,2,6.77333864083956,0
0,3,"(18.5, 19.5)",19.0,3,3.349453174041541,0
0,3,"(19.5, 20.5)",20.0,0,4.55,0
0,3,"(19.5, 20.5)",20.0,1,2.25,0
0,3,"(19.5, 20.5)",20.0,2,6.434671708797582,0
0,3,"(19.5, 20.5)",20.0,3,3.181980515339464,0
0,3,"(20.5, 21.5)",21.0,0,6.095238095238095,0
0,3,"(20.5, 21.5)",21.0,1,2.142857142857143,0
0,3,"(20.5, 21.5)",21.0,2,6.128258770283411,0
0,3,"(20.5, 21.5)",21.0,3,3.0304576336566322,0
0,3,"(21.5, 22.5)",22.0,0,5.818181818181818,0
0,3,"(21.5, 22.5)",22.0,1,2.0454545454545454,0
