subj,bands,freq,side,rois
9,4,1.1547005383792515,1,1
9,5,1.044465935734187,1,1
9,6,0.9607689228305228,1,1
9,7,0.8944271909999159,1,1
9,8,0.8401680504168059,1,1
9,9,0.7947194142390263,1,1
9,10,0.7559289460184544,1,1
9,11,0.7223151185146152,1,1
9,12,0.6928203230275509,1,1
9,13,0.6666666666666666,1,1
9,14,0.6432675209026769,1,1
10,1,2.0,0,1
10,2,1.5491933384829668,0,1
10,3,1.5118578920369088,0,1
10,4,1.3333333333333333,0,1
10,5,1.044465935734187,0,1
10,6,0.9607689228305228,0,1
10,7,0.8944271909999159,0,1
10,8,0.8401680504168059,0,1
10,9,2.176428750330035,0,1
10,10,2.0701966780270626,0,1
10,11,0.7223151185146152,0,1
10,12,0.6928203230275509,0,1
10,13,0.6666666666666666,0,1
10,14,0.6432675209026769,0,1
10,1,2.0,1,1
10,2,1.7888543819998317,1,1
10,3,1.3093073414159542,1,1
10,4,1.1547005383792515,1,1
10,5,1.044465935734187,1,1
10,6,0.9607689228305228,1,1
10,7,0.8944271909999159,1,1
10,8,1.9402850002906638,1,1
10,9,1.8353258709644942,1,1
10,10,2.0701966780270626,1,1
10,11,1.978141420187361,1,1
10,12,1.8973665961010275,1,1
10,13,1.8257418583505538,1,1
10,14,1.7616606585441104,1,1
11,1,4.618802153517006,0,1
11,2,3.5777087639996634,0,1
11,3,3.0237157840738176,0,1
11,4,2.6666666666666665,0,1
11,5,2.412090756622109,0,1
11,6,2.2188007849009166,0,1
11,7,1.7511900715418263,0,1
11,8,1.9402850002906638,0,1
11,9,1.8353258709644942,0,1
11,10,1.745743121887939,0,1
11,11,1.6681153124565982,0,1
11,12,1.6,0,1
11,13,1.3052600138300812,0,1
11,14,1.259447059844805,0,1
11,1,3.265986323710904,1,1
11,2,2.0976176963403033,1,1
11,3,1.7728105208558367,1,1
11,4,1.8856180831641267,1,1
11,5,1.7056057308448835,1,1
11,6,1.5689290811054724,1,1
11,7,1.4605934866804429,1,1
11,8,1.3719886811400708,1,1
11,9,1.2977713690461004,1,1
11,10,1.2344267996967353,1,1
11,11,1.179535649239177,1,1
11,12,1.3564659966250536,1,1
11,13,1.0886621079036347,1,1
11,14,1.259447059844805,1,1
12,1,3.265986323710904,0,1
12,2,3.03315017762062,0,1
12,3,2.138089935299395,0,1
12,4,1.5634719199411433,0,1
12,5,1.7056057308448835,0,1
12,6,1.5689290811054724,0,1
12,7,1.4605934866804429,0,1
12,8,1.137592917989042,0,1
12,9,1.2977713690461004,0,1
12,10,1.2344267996967353,0,1
12,11,1.4142135623730951,0,1
12,12,1.3564659966250536,0,1
12,13,1.0886621079036347,0,1
12,14,0.8709883407113854,0,1
12,1,2.0,1,1
12,2,1.5491933384829668,1,1
12,3,6.047431568147635,1,1
12,4,5.333333333333333,1,1
12,5,4.824181513244218,1,1
12,6,4.437601569801833,1,1
12,7,4.131182235954578,1,1
12,8,3.8805700005813275,1,1
12,9,3.6706517419289884,1,1
12,10,0.7559289460184544,1,1
12,11,0.7223151185146152,1,1
12,12,0.6928203230275509,1,1
12,13,0.6666666666666666,1,1
12,14,0.6432675209026769,1,1
1,1,3.9157800414902435,0,2
1,2,3.5777087639996634,0,2
1,3,3.0237157840738176,0,2
1,4,2.6666666666666665,0,2
1,5,2.412090756622109,0,2
1,6,2.6311740579210876,0,2
1,7,2.449489742783178,0,2
1,8,2.3008949665421112,0,2
1,9,2.176428750330035,0,2
1,10,2.0701966780270626,0,2
1,11,1.978141420187361,0,2
1,12,1.8973665961010275,0,2
1,13,1.8257418583505538,0,2
1,14,1.4855627054164149,0,2
1,1,3.9157800414902435,1,2
1,2,3.03315017762062,1,2
1,3,3.0237157840738176,1,2
1,4,2.6666666666666665,1,2
1,5,2.412090756622109,1,2
1,6,2.2188007849009166,1,2
1,7,2.065591117977289,1,2
1,8,1.9402850002906638,1,2
1,9,2.176428750330035,1,2
1,10,2.0701966780270626,1,2
1,11,1.6681153124565982,1,2
1,12,1.6,1,2
1,13,1.539600717839002,1,2
1,14,1.4855627054164149,1,2
2,1,2.70801280154532,0,2
2,2,2.5298221281347035,0,2
2,3,2.138089935299395,0,2
2,4,1.8856180831641267,0,2
2,5,1.7056057308448835,0,2
2,6,1.8810798862519205,0,2
2,7,1.4605934866804429,0,2
2,8,1.6449566416599486,0,2
2,9,1.5559732104309982,0,2
2,10,1.4800257398019099,0,2
2,11,1.4142135623730951,0,2
2,12,0.938083151964686,0,2
2,13,1.0886621079036347,0,2
2,14,1.0504514628777804,0,2
2,1,2.70801280154532,1,2
2,2,2.5298221281347035,1,2
2,3,2.138089935299395,1,2
2,4,2.260776661041756,1,2
2,5,2.860387767736777,1,2
2,6,4.437601569801833,1,2
2,7,1.4605934866804429,1,2
2,8,1.3719886811400708,1,2
2,9,1.2977713690461004,1,2
2,10,1.2344267996967353,1,2
2,11,1.4142135623730951,1,2
2,12,1.131370849898476,1,2
2,13,1.3052600138300812,1,2
2,14,1.0504514628777804,1,2
3,1,3.9157800414902435,0,2
3,2,3.03315017762062,0,2
3,3,3.0237157840738176,0,2
3,4,2.6666666666666665,0,2
3,5,2.412090756622109,0,2
3,6,2.6311740579210876,0,2
3,7,2.449489742783178,0,2
3,8,2.3008949665421112,0,2
3,9,2.176428750330035,0,2
3,10,2.0701966780270626,0,2
3,11,1.978141420187361,0,2
3,12,1.6,0,2
3,13,1.8257418583505538,0,2
3,14,1.7616606585441104,0,2
3,1,2.70801280154532,1,2
3,2,2.0976176963403033,1,2
3,3,2.5634797778466227,1,2
3,4,2.6666666666666665,1,2
3,5,2.412090756622109,1,2
3,6,2.2188007849009166,1,2
3,7,2.065591117977289,1,2
3,8,1.9402850002906638,1,2
3,9,1.8353258709644942,1,2
3,10,1.745743121887939,1,2
3,11,1.978141420187361,1,2
3,12,1.131370849898476,1,2
3,13,1.539600717839002,1,2
3,14,1.4855627054164149,1,2
4,1,3.9157800414902435,0,2
4,2,3.5777087639996634,0,2
