subject,roi,eccentricity_range,eccentricity_mean,frequency_class,psf,side
1,3,"(3.5, 4.5)",4.0,3,3.8891,0
1,3,"(3.5, 4.5)",4.0,4,3.8891,0
1,3,"(4.5, 5.5)",5.0,1,9.0,0
1,3,"(4.5, 5.5)",5.0,2,4.6,0
1,3,"(4.5, 5.5)",5.0,3,3.1113,0
1,3,"(4.5, 5.5)",5.0,4,6.5054,0
1,3,"(5.5, 6.5)",6.0,1,10.6667,0
1,3,"(5.5, 6.5)",6.0,2,5.3333,0
1,3,"(5.5, 6.5)",6.0,3,3.7712,0
1,3,"(5.5, 6.5)",6.0,4,5.4212,0
1,3,"(6.5, 7.5)",7.0,1,18.2857,0
1,3,"(6.5, 7.5)",7.0,2,4.5714,0
1,3,"(6.5, 7.5)",7.0,3,3.2325,0
1,3,"(6.5, 7.5)",7.0,4,4.6467,0
1,3,"(7.5, 8.5)",8.0,1,16.0,0
1,3,"(7.5, 8.5)",8.0,2,4.0,0
1,3,"(7.5, 8.5)",8.0,3,4.0659,0
1,3,"(7.5, 8.5)",8.0,4,7.955,0
1,3,"(8.5, 9.5)",9.0,1,3.5556,0
1,3,"(8.5, 9.5)",9.0,2,3.5556,0
1,3,"(8.5, 9.5)",9.0,3,7.0711,0
1,3,"(8.5, 9.5)",9.0,4,3.6141,0
1,3,"(9.5, 10.5)",10.0,1,3.2,0
1,3,"(9.5, 10.5)",10.0,2,3.2,0
1,3,"(9.5, 10.5)",10.0,3,6.364,0
1,3,"(9.5, 10.5)",10.0,4,3.2527,0
1,3,"(10.5, 11.5)",11.0,1,2.9091,0
1,3,"(10.5, 11.5)",11.0,2,4.0909,0
1,3,"(10.5, 11.5)",11.0,3,5.7854,0
1,3,"(10.5, 11.5)",11.0,4,5.7854,0
1,3,"(11.5, 12.5)",12.0,1,2.6667,0
1,3,"(11.5, 12.5)",12.0,2,2.6667,0
1,3,"(11.5, 12.5)",12.0,3,7.5425,0
1,3,"(11.5, 12.5)",12.0,4,5.3033,0
1,3,"(12.5, 13.5)",13.0,1,2.4615,0
1,3,"(12.5, 13.5)",13.0,2,3.4615,0
1,3,"(12.5, 13.5)",13.0,3,1.7406,0
1,3,"(12.5, 13.5)",13.0,4,4.8954,0
1,3,"(13.5, 14.5)",14.0,1,0.7857,0
1,3,"(13.5, 14.5)",14.0,2,1.6429,0
1,3,"(13.5, 14.5)",14.0,3,1.1112,0
1,3,"(13.5, 14.5)",14.0,4,4.5457,0
1,3,"(14.5, 15.5)",15.0,1,0.7333,0
1,3,"(14.5, 15.5)",15.0,2,2.1333,0
1,3,"(14.5, 15.5)",15.0,3,1.0371,0
1,3,"(14.5, 15.5)",15.0,4,2.1685,0
1,3,"(15.5, 16.5)",16.0,1,0.6875,0
1,3,"(15.5, 16.5)",16.0,2,1.4375,0
1,3,"(15.5, 16.5)",16.0,3,0.9723,0
1,3,"(15.5, 16.5)",16.0,4,3.9775,0
1,3,"(16.5, 17.5)",17.0,1,0.6471,0
1,3,"(16.5, 17.5)",17.0,2,1.3529,0
1,3,"(16.5, 17.5)",17.0,3,0.9151,0
1,3,"(16.5, 17.5)",17.0,4,3.7435,0
1,3,"(17.5, 18.5)",18.0,1,0.6111,0
1,3,"(17.5, 18.5)",18.0,2,1.7778,0
1,3,"(17.5, 18.5)",18.0,3,3.5355,0
1,3,"(17.5, 18.5)",18.0,4,3.5355,0
1,3,"(18.5, 19.5)",19.0,1,0.5789,0
1,3,"(18.5, 19.5)",19.0,2,1.2105,0
1,3,"(18.5, 19.5)",19.0,3,3.3495,0
1,3,"(18.5, 19.5)",19.0,4,1.7119,0
1,3,"(19.5, 20.5)",20.0,1,0.55,0
1,3,"(19.5, 20.5)",20.0,2,1.15,0
1,3,"(19.5, 20.5)",20.0,3,3.182,0
1,3,"(19.5, 20.5)",20.0,4,3.182,0
1,3,"(20.5, 21.5)",21.0,1,0.5238,0
1,3,"(20.5, 21.5)",21.0,2,1.0952,0
1,3,"(20.5, 21.5)",21.0,3,3.0305,0
1,3,"(20.5, 21.5)",21.0,4,3.0305,0
1,3,"(21.5, 22.5)",22.0,1,0.7273,0
1,3,"(21.5, 22.5)",22.0,2,1.0455,0
1,3,"(21.5, 22.5)",22.0,3,2.8927,0
1,3,"(21.5, 22.5)",22.0,4,2.8927,0
1,3,"(22.5, 23.5)",23.0,1,0.6957,0
1,3,"(22.5, 23.5)",23.0,2,1.0,0
1,3,"(22.5, 23.5)",23.0,3,2.7669,0
1,3,"(22.5, 23.5)",23.0,4,2.7669,0
1,3,"(23.5, 24.5)",24.0,1,0.9583,0
1,3,"(23.5, 24.5)",24.0,2,0.9583,0
1,3,"(23.5, 24.5)",24.0,3,0.9428,0
1,3,"(23.5, 24.5)",24.0,4,1.3553,0
1,3,"(24.5, 25.5)",25.0,1,0.64,0
1,3,"(24.5, 25.5)",25.0,2,0.92,0
1,3,"(24.5, 25.5)",25.0,3,0.9051,0
1,3,"(24.5, 25.5)",25.0,4,5.1477,0
1,4,"(1.5, 2.5)",2.0,1,8.0,0
1,4,"(1.5, 2.5)",2.0,2,5.5,0
1,4,"(1.5, 2.5)",2.0,3,4.2426,0
1,4,"(1.5, 2.5)",2.0,4,31.8198,0
1,4,"(2.5, 3.5)",3.0,1,15.0,0
1,4,"(2.5, 3.5)",3.0,2,7.6667,0
1,4,"(2.5, 3.5)",3.0,3,7.5425,0
1,4,"(2.5, 3.5)",3.0,4,21.2132,0
1,4,"(3.5, 4.5)",4.0,1,32.0,0
1,4,"(3.5, 4.5)",4.0,2,5.75,0
1,4,"(3.5, 4.5)",4.0,3,5.6569,0
1,4,"(3.5, 4.5)",4.0,4,32.1734,0
1,4,"(4.5, 5.5)",5.0,1,25.6,0
1,4,"(4.5, 5.5)",5.0,2,4.6,0
1,4,"(4.5, 5.5)",5.0,3,4.5255,0
1,4,"(4.5, 5.5)",5.0,4,6.5054,0
1,4,"(5.5, 6.5)",6.0,1,10.6667,0
1,4,"(5.5, 6.5)",6.0,2,3.8333,0
1,4,"(5.5, 6.5)",6.0,3,3.7712,0
1,4,"(5.5, 6.5)",6.0,4,5.4212,0
1,4,"(6.5, 7.5)",7.0,1,9.1429,0
1,4,"(6.5, 7.5)",7.0,2,4.5714,0
1,4,"(6.5, 7.5)",7.0,3,3.2325,0
1,4,"(6.5, 7.5)",7.0,4,4.6467,0
1,4,"(7.5, 8.5)",8.0,1,8.0,0
1,4,"(7.5, 8.5)",8.0,2,4.0,0
1,4,"(7.5, 8.5)",8.0,3,1.9445,0
1,4,"(7.5, 8.5)",8.0,4,7.955,0
1,4,"(8.5, 9.5)",9.0,1,14.2222,0
1,4,"(8.5, 9.5)",9.0,2,0.6667,0
1,4,"(8.5, 9.5)",9.0,3,3.6141,0
1,4,"(8.5, 9.5)",9.0,4,0.9428,0
1,4,"(9.5, 10.5)",10.0,1,12.8,0
1,4,"(9.5, 10.5)",10.0,2,0.6,0
1,4,"(9.5, 10.5)",10.0,3,3.2527,0
1,4,"(9.5, 10.5)",10.0,4,6.364,0
1,4,"(10.5, 11.5)",11.0,1,5.8182,0
1,4,"(10.5, 11.5)",11.0,2,0.5455,0
1,4,"(10.5, 11.5)",11.0,3,11.6994,0
1,4,"(10.5, 11.5)",11.0,4,4.1141,0
1,4,"(11.5, 12.5)",12.0,1,5.3333,0
1,4,"(11.5, 12.5)",12.0,2,3.75,0
1,4,"(11.5, 12.5)",12.0,3,7.5425,0
1,4,"(11.5, 12.5)",12.0,4,7.5425,0
1,4,"(12.5, 13.5)",13.0,1,9.8462,0
1,4,"(12.5, 13.5)",13.0,2,0.4615,0
1,4,"(12.5, 13.5)",13.0,3,6.9623,0
1,4,"(12.5, 13.5)",13.0,4,0.6527,0
1,4,"(13.5, 14.5)",14.0,1,9.1429,0
1,4,"(13.5, 14.5)",14.0,2,1.6429,0
1,4,"(13.5, 14.5)",14.0,3,9.1924,0
1,4,"(13.5, 14.5)",14.0,4,9.1924,0
1,4,"(14.5, 15.5)",15.0,1,8.5333,0
1,4,"(14.5, 15.5)",15.0,2,1.5333,0
1,4,"(14.5, 15.5)",15.0,3,8.5796,0
1,4,"(14.5, 15.5)",15.0,4,4.2426,0
1,4,"(15.5, 16.5)",16.0,1,8.0,0
1,4,"(15.5, 16.5)",16.0,2,1.4375,0
1,4,"(15.5, 16.5)",16.0,3,8.0433,0
1,4,"(15.5, 16.5)",16.0,4,8.0433,0
1,4,"(16.5, 17.5)",17.0,1,7.5294,0
1,4,"(16.5, 17.5)",17.0,2,2.6471,0
1,4,"(16.5, 17.5)",17.0,3,7.5702,0
1,4,"(16.5, 17.5)",17.0,4,3.7435,0
1,4,"(17.5, 18.5)",18.0,1,7.1111,0
1,4,"(17.5, 18.5)",18.0,2,2.5,0
1,4,"(17.5, 18.5)",18.0,3,7.1496,0
1,4,"(17.5, 18.5)",18.0,4,3.5355,0
1,4,"(18.5, 19.5)",19.0,1,6.7368,0
1,4,"(18.5, 19.5)",19.0,2,2.3684,0
1,4,"(18.5, 19.5)",19.0,3,6.7733,0
1,4,"(18.5, 19.5)",19.0,4,3.3495,0
1,4,"(19.5, 20.5)",20.0,1,4.55,0
1,4,"(19.5, 20.5)",20.0,2,2.25,0
1,4,"(19.5, 20.5)",20.0,3,6.4347,0
1,4,"(19.5, 20.5)",20.0,4,3.182,0
1,4,"(20.5, 21.5)",21.0,1,6.0952,0
1,4,"(20.5, 21.5)",21.0,2,2.1429,0
1,4,"(20.5, 21.5)",21.0,3,6.1283,0
1,4,"(20.5, 21.5)",21.0,4,3.0305,0
1,4,"(21.5, 22.5)",22.0,1,5.8182,0
1,4,"(21.5, 22.5)",22.0,2,2.0455,0
1,4,"(21.5, 22.5)",22.0,3,5.8497,0
1,4,"(21.5, 22.5)",22.0,4,5.8497,0
1,4,"(22.5, 23.5)",23.0,1,5.5652,0
