,roi,side,eccen,subject,preferred_period,sigma
100,1,1,2.5,5,0.4173316335316803,0.7231185993803736
101,1,1,3.5,5,0.5345355519178344,1.6056452697115158
102,1,1,4.5,5,0.6148330986323909,2.123530392202071
103,1,1,5.5,5,0.6697526467857977,2.59175958947029
104,1,1,6.5,5,0.7318710181265267,3.0645215617758885
105,1,1,7.5,5,0.7717106493702407,3.4466671466827394
106,1,1,8.5,5,0.822662328652899,3.864697063206048
107,1,1,9.5,5,0.8928225982225243,3.9921032722938703
108,1,1,10.5,5,0.8048905461775049,3.401379343400251
109,1,1,11.5,5,0.9441590173667114,2.58723496064982
110,1,0,1.5,6,0.5143578891166022,0.7660690535708229
111,1,0,2.5,6,0.8833359503520922,0.706887741463422
112,1,0,3.5,6,0.7658698288958588,0.7524947182142309
113,1,0,4.5,6,0.9593753604916796,1.0888140642235422
114,1,0,5.5,6,1.207719339392311,1.0127220226658715
115,1,0,6.5,6,1.2782952539560923,1.6277094446969302
116,1,0,7.5,6,1.513237787415726,2.037688480851091
117,1,0,8.5,6,1.6577924205730454,2.294017591295035
118,1,0,9.5,6,1.9545943296431387,2.302207083721471
119,1,0,10.5,6,2.1202908724491776,2.190332906999329
120,1,0,11.5,6,2.3315947604439504,1.9754148391531965
121,1,1,1.5,6,0.5883308549486613,0.9163027408423724
122,1,1,2.5,6,0.7174100157452397,0.8989282139012071
123,1,1,3.5,6,0.9490104322120664,1.0155876257589884
124,1,1,4.5,6,1.1004595706642788,1.1752240963223326
125,1,1,5.5,6,1.3104831745750305,1.2445902867948628
126,1,1,6.5,6,1.5244951127062456,1.5010585112278687
127,1,1,7.5,6,1.727324201295409,1.609776201565842
128,1,1,8.5,6,1.8953241928894209,1.925210959101851
129,1,1,9.5,6,2.179756901073897,1.865441452123617
130,1,1,10.5,6,2.478786374587259,1.8522095037298605
131,1,1,11.5,6,2.818100828502963,1.667575650375623
132,1,0,1.5,7,0.4965629752494429,1.6640625677628225
133,1,0,2.5,7,0.543137534406881,2.0843367396036583
134,1,0,3.5,7,0.7187458126905941,2.121181361958883
135,1,0,4.5,7,0.8942216044139419,2.4451667882300714
136,1,0,5.5,7,1.0094329464862464,2.13274582884959
137,1,0,6.5,7,1.129912199773268,2.1792447807327395
138,1,0,7.5,7,1.2994646336611992,2.174426201042856
139,1,0,8.5,7,1.4649607562490676,2.2645438254630865
